,cell_area_ratio,white_area_ratio,e2e_n,e2e_distance_mean,e2e_distance_std,e2e_distance_median,e2e_distance_mad,e2e_eu_distance_mean,e2e_eu_distance_std,e2e_eu_distance_median,e2e_eu_distance_mad,e2e_distance_ratio_mean,e2e_distance_ratio_std,e2e_distance_ratio_median,e2e_distance_ratio_mad,j2e_n,j2e_distance_mean,j2e_distance_std,j2e_distance_median,j2e_distance_mad,j2e_eu_distance_mean,j2e_eu_distance_std,j2e_eu_distance_median,j2e_eu_distance_mad,j2e_distance_ratio_mean,j2e_distance_ratio_std,j2e_distance_ratio_median,j2e_distance_ratio_mad,j2j_n,j2j_distance_mean,j2j_distance_std,j2j_distance_median,j2j_distance_mad,j2j_eu_distance_mean,j2j_eu_distance_std,j2j_eu_distance_median,j2j_eu_distance_mad,j2j_distance_ratio_mean,j2j_distance_ratio_std,j2j_distance_ratio_median,j2j_distance_ratio_mad,nodes_n,nodes_max,nodes_mean,nodes_std,nodes_median,nodes_mad,branch_thickness_medial_axis_mean,branch_thickness_medial_axis_std,branch_thickness_medial_axis_median,branch_thickness_medial_axis_mad,branch_thickness_voronoi_mean,branch_thickness_voronoi_std,branch_thickness_voronoi_median,branch_thickness_voronoi_mad,texture_std_filter_mean,texture_std_filter_std,texture_std_filter_median,texture_std_filter_mad,texture_entropy_filter_mean,texture_entropy_filter_std,texture_entropy_filter_median,texture_entropy_filter_mad
GNA12_E1_NS,0.6615886688232422,0.2640520731608073,1,58.0416305603426,,58.0416305603426,0.0,51.0098029794274,,51.0098029794274,0.0,0.8788485520990902,,0.8788485520990902,0.0,174,22.750224839228707,26.258598443806015,15.507989536664212,6.415512263946088,20.79399088413455,22.278336194405018,14.794465106847726,6.096471944913616,0.9378076895468502,0.03563913745469233,0.939562933011171,0.014723536208107124,497,72.10513710495735,49.61924460821019,62.894531256076796,33.151531735165555,65.92725898578136,44.56311706093353,57.764909090400465,29.996802695295415,0.9250576124634564,0.04091101026905982,0.9282683971729723,0.01650154730525133,1213,5,3.1228359439406432,0.33569880647213063,3.0,0.0,9.687430381774902,6.65850305557251,8.062257766723633,3.339496612548828,10.053537368774414,6.316006660461426,8.5440034866333,3.5390424728393555,1749.4576416015625,1143.6390380859375,1445.437255859375,554.0606689453125,3.9686946868896484,0.5562686920166016,3.992588520050049,0.3927574157714844
ACTN4_L3_NO,0.6431838141547309,0.26414744059244794,2,5.328427124746191,0.7071067811865476,5.328427124746191,0.5,4.621320343559642,0.5355339059327379,4.621320343559642,0.3786796564403576,0.8682720163547033,0.01471862576142966,0.8682720163547033,0.010407640085653924,508,16.18758497212603,13.970790837070977,13.485281374238571,5.414213562373098,15.052341095097072,12.579300152866134,12.60848273943028,4.93457311728276,0.9400680161479869,0.035156080752313426,0.9409601543722115,0.01605691079213417,826,47.255238655498964,39.14994187882888,36.606716388651144,19.823595441688646,43.360853910024055,35.325742155003915,33.982062372744394,17.619538462965945,0.931570932931919,0.03882988090333218,0.9314621860964433,0.01897372313140755,2192,5,3.1181569343065694,0.32978465242861565,3.0,0.0,7.979354381561279,5.130908489227295,7.0,2.5278639793395996,8.927848815917969,5.022501468658447,7.6157732009887695,2.4341020584106445,1315.7294921875,830.5401611328125,1086.24755859375,419.6654357910156,3.679391622543335,0.5852214694023132,3.6806657314300537,0.42304205894470215
NegsiRNA_H1_CA,0.622810787624783,0.31785880194769967,1,1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,0.0,290,19.56522805775157,17.862114960458424,14.488091770369763,6.782302623644547,18.120273044038832,15.396741880523427,13.725417393279077,6.227401264451146,0.9437420918257196,0.03776292032529423,0.9452746394699059,0.019064956801316257,687,58.941502352283024,42.29767597825098,49.59916810780923,28.2839869297655,54.30408638677039,38.232718134510336,45.81363212940981,25.662639598023173,0.9326091701603577,0.032884445373677504,0.9305677307736121,0.014710305275641544,1629,5,3.1135666052793125,0.31921306133795024,3.0,0.0,10.675647735595703,8.22616958618164,8.062257766723633,3.81961727142334,11.194595336914062,7.960859775543213,8.9442720413208,3.7836503982543945,1857.949462890625,1170.9322509765625,1554.20703125,578.840576171875,4.053713321685791,0.5358816981315613,4.081660747528076,0.37814974784851074
MYO7A_D1_CA,0.6288712819417318,0.2893231709798177,4,18.181980515339465,6.779921834690853,17.65685424949238,4.82842712474619,16.894236031494245,6.790659164093129,15.278860231730807,3.513878188659973,0.9281647867728332,0.07491971942833578,0.9288857348865072,0.06363742127475774,254,20.48646209276213,19.74654390533113,14.486017713768096,5.571067811865412,19.01587625984572,17.81454546829055,13.620971687219592,5.310586617922262,0.9411283203654924,0.04485052830188999,0.9442876017275292,0.018203481193561022,669,61.20231836596536,42.42637597517527,50.697989626569736,27.498663044420873,56.0681354519023,38.105648835246754,46.830812506297605,25.161581888770964,0.9272570977149163,0.037102117918835005,0.9294236502199195,0.016531200985343664,1626,5,3.1297662976629765,0.3396866648163663,3.0,0.0,8.736026763916016,5.068644046783447,7.8102498054504395,2.8102498054504395,9.366873741149902,4.826958656311035,8.062257766723633,2.708071708679199,921.6715087890625,583.4498901367188,759.959228515625,279.083740234375,3.3354527950286865,0.5946283936500549,3.3258328437805176,0.42926955223083496
ACTB_B2_NS,0.5290368398030599,0.3934220208062066,2,6.621320343559643,4.535533905932737,6.621320343559643,3.207106781186547,5.914213562373095,4.363961030678928,5.914213562373095,3.085786437626905,0.8720691218521717,0.06171910419632662,0.8720691218521717,0.043641997105981656,348,22.270650363330194,16.129513126079186,19.2662663634218,7.5147186257613985,20.80908776623563,14.708323526456615,18.1116329814774,7.0900476564180055,0.9414048125278331,0.03728701049305665,0.941783964531654,0.017681504545293936,704,53.959470869116416,37.06819842542491,46.246635796932196,22.981400935278558,49.85905054992065,33.70678239610166,42.173573585474,21.00068529960222,0.9341277580919443,0.03703964969880986,0.9330232451058996,0.016489050159761875,1796,5,3.13195991091314,0.34008833936352306,3.0,0.0,13.342543601989746,8.466753959655762,11.704699516296387,4.996495723724365,14.887825012207031,8.152078628540039,13.34166431427002,5.015894889831543,2073.008056640625,1432.76171875,1641.6729736328125,668.1557006835938,4.099480152130127,0.5625133514404297,4.115037441253662,0.4076361656188965
NegsiRNA_H3_NO,0.6158489651150174,0.33132383558485246,1,2.0,,2.0,0.0,2.0,,2.0,0.0,1.0,,1.0,0.0,376,19.68101650986966,17.435064564805185,15.767556509887925,5.678270795602211,18.243286631089727,14.774420081041344,15.209761193876892,5.385608803494814,0.9453406142998138,0.036355170335773485,0.9462816703845324,0.018563968525010854,729,52.99478770045638,37.88870669866349,43.12028702679464,22.69050902734691,49.08132953183781,34.58533605921857,40.375680248827535,20.849825057376357,0.9349719997186978,0.03408292706901725,0.9333759062577502,0.015372898942369373,1850,5,3.1394594594594594,0.35869090771217427,3.0,0.0,10.4727783203125,5.901240348815918,9.486832618713379,3.486832618713379,11.364080429077148,5.113643646240234,10.29563045501709,3.1579933166503906,2089.6650390625,1365.61669921875,1728.560546875,699.341796875,4.108348369598389,0.5474122166633606,4.139920711517334,0.39815855026245117
GNB2L1_E3_NS,0.6653575897216797,0.25238079494900173,0,,,,,,,,,,,,,241,20.662046341713914,21.52045860072204,14.370899457402674,6.671226286205104,18.97256972568818,18.872249686705413,13.498971154211025,6.365326301200111,0.9313456330385523,0.06542573939557993,0.9367409005966311,0.01776988895144649,547,65.85907031638045,44.64596473344557,54.85737323200318,29.480357799072927,60.0173922995523,39.764556360425296,51.16456293177926,26.282955140497023,0.9235638421022021,0.046840645022871566,0.9290171133413877,0.014944607925850728,1391,5,3.1380301941049606,0.3511286134539415,3.0,0.0,8.612083435058594,5.669648170471191,7.0,2.876894474029541,9.064268112182617,5.562930107116699,7.211102485656738,2.738966464996338,1147.7919921875,796.8130493164062,921.7836303710938,365.0035400390625,3.534525156021118,0.6121600270271301,3.5332775115966797,0.44864940643310547
ADD3_A1_NS,0.6942886776394315,0.24614418877495658,2,19.414213562373096,26.041630560342618,19.414213562373096,18.414213562373096,19.0,25.45584412271571,19.0,18.0,0.989050203937712,0.015485350096507228,0.989050203937712,0.01094979606228802,182,23.287270805182718,23.868543147657917,14.193585971598052,6.950945284478767,21.568490204434354,21.505321961273395,13.639274937662687,6.683321622899133,0.9407883897668348,0.058468447255446594,0.9460320555545473,0.021067729545835356,445,73.08757049597574,47.85946255170807,65.26871084938661,33.32150801914008,67.27907085538006,43.530242955929516,60.92800852007411,30.231705183210337,0.9306043913360953,0.03533898138066295,0.9294428811593867,0.01771315472402868,1095,4,3.1187214611872145,0.3234604702908646,3.0,0.0,9.459083557128906,5.974369525909424,8.062257766723633,3.5901217460632324,10.013091087341309,5.852107524871826,8.5440034866333,3.497591018676758,2053.998779296875,1451.0640869140625,1638.06005859375,663.5455322265625,4.063193321228027,0.5669565796852112,4.083698749542236,0.40816307067871094
NegsiRNA_A2_CA,0.7419800228542752,0.2609659830729167,2,1.4142135623730951,0.0,1.4142135623730951,0.0,1.4142135623730951,0.0,1.4142135623730951,0.0,1.0,0.0,1.0,0.0,323,21.199933064669573,20.848368411544033,15.18495454543624,7.485281374238684,19.752009719293078,19.131524216581802,14.073467945037567,6.939823092026653,0.9419875788683479,0.03898398281755691,0.9433452527020513,0.017432635411552155,564,57.59156013601946,45.43626619382819,44.21344459186069,25.935517590441236,53.17256904911924,41.55621244858835,41.02645629375296,23.64569511636998,0.9327211210746794,0.03339065599409168,0.9306280599866742,0.016112550900134137,1430,5,3.1216783216783215,0.3311644765204616,3.0,0.0,11.464640617370605,12.75216293334961,7.211102485656738,3.605551242828369,11.244351387023926,11.447408676147461,7.280109882354736,3.2801098823547363,1577.5439453125,1110.47802734375,1265.1015625,473.3422546386719,3.8687961101531982,0.5643876791000366,3.871323585510254,0.3980140686035156
FBLMI1_C3_NS,0.6233880784776475,0.2993910047743056,3,1.6094757082487303,0.7270457201641233,1.4142135623730951,0.41421356237309515,1.5500938466242948,0.6291371869363989,1.4142135623730951,0.41421356237309515,0.9754032275561966,0.0426028595748777,1.0,0.0,263,21.777137986256548,19.91101615775267,15.785113019775768,7.071067811865522,20.254709568781973,17.960157413035695,14.940623220676676,6.285834326450685,0.9422930474956274,0.03985722615785323,0.9462816703845319,0.01957780389459296,633,59.86677256667743,38.20901491717731,53.72742687809268,26.073901075620537,55.34112806461021,34.81974455277821,49.73820351489278,24.050581013802535,0.9313495941539992,0.03415824574256027,0.9306924076741345,0.013582636180213825,1561,5,3.1300448430493275,0.34201881788572364,3.0,0.0,9.778093338012695,5.896214962005615,8.485280990600586,3.386261463165283,10.430590629577637,5.567899227142334,9.0,3.0415945053100586,1436.497314453125,844.8327026367188,1222.115478515625,442.4930419921875,3.810093879699707,0.5375910401344299,3.820558786392212,0.38611578941345215
DNMBP_A3_NS,0.6682609981960721,0.23349507649739584,1,14.828427124746193,,14.828427124746193,0.0,14.142135623730953,,14.142135623730953,0.0,0.9537178491527308,,0.9537178491527308,0.0,250,19.101474383433604,23.839126610034867,11.817502826278051,5.631564349679797,17.58314533535034,20.99421166339648,11.137960139862379,5.40307662850067,0.9401186011455674,0.03840290787134556,0.9399537608406537,0.017948595638579756,604,63.54115237724338,49.61631537558377,49.515543387080456,27.805926280447377,57.56701988997591,43.423123392858415,45.28143640662015,25.060139965959856,0.921687352704549,0.042036175815202415,0.9269005164778452,0.016825070743717252,1525,5,3.1337704918032787,0.34423668913359573,3.0,0.0,7.585024833679199,4.891504764556885,6.082762718200684,2.461240768432617,7.899887561798096,4.673025131225586,6.4031243324279785,2.4031243324279785,1153.9827880859375,755.1669311523438,951.9797973632812,348.9219970703125,3.5636637210845947,0.5836060047149658,3.5630910396575928,0.41138219833374023
NegsiRNA_G3_NS,0.6753294203016493,0.23950576782226562,1,1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,0.0,261,16.85176423940648,14.987525013775537,13.72792206135786,5.057190958417868,15.697006502223665,13.601350463587485,12.944325225965054,4.5360208804482856,0.9402415755601733,0.04235030327498069,0.9432073949814294,0.01450890926115489,565,64.83460382468773,45.26155177318978,55.34916810780933,28.670828760165,59.46708536077509,40.739601623253584,51.545018080207356,25.959377576205902,0.9274933438721764,0.04058847848497024,0.9291964102154588,0.016570430907374756,1432,5,3.1215083798882683,0.341351182535004,3.0,0.0,8.210472106933594,4.796998977661133,7.071067810058594,2.362913131713867,8.56097412109375,4.303048133850098,7.6157732009887695,2.516753673553467,1393.3372802734375,943.2880859375,1131.8448486328125,437.8985595703125,3.727768898010254,0.5859094262123108,3.736360788345337,0.4115264415740967
NegsiRNA_B1_NO,0.5859116448296441,0.33423105875651044,0,,,,,,,,,,,,,337,19.538865880876333,16.28937298931107,15.75,5.620899457402672,18.26085037492959,14.35977834638373,14.78385944197252,5.0671480891328,0.9448220700391168,0.04612791326125443,0.9485046896490198,0.01850492526476355,751,54.86826154236295,37.26145129102529,46.25084581131321,24.71708864377929,50.692851362371194,33.8799766475906,43.0653573072371,22.91867299222157,0.9334723615614741,0.03361554922848793,0.9312751115749396,0.015356333507145714,1891,5,3.13590692755156,0.3577885537443969,3.0,0.0,10.39243221282959,6.126671314239502,9.219544410705566,3.5867042541503906,11.284369468688965,5.9059858322143555,10.0,3.4536237716674805,1493.7105712890625,909.2442016601562,1264.981201171875,444.08795166015625,3.8428313732147217,0.5320553779602051,3.85677170753479,0.3704817295074463
ADAM9_C3b_NO,0.6553741031222873,0.26106686062282985,2,8.414213562373096,7.656854249492383,8.414213562373096,5.414213562373097,7.520797289396148,6.3933728394035585,7.520797289396148,4.520797289396148,0.9353927771454089,0.09136841078822362,0.9353927771454089,0.06460722285459103,379,19.83211617931516,19.071950440642492,14.828427124746193,5.757359312880718,18.31212396310364,16.6916330784908,13.924399049470296,5.575344538587512,0.9414381769797339,0.03665716655812702,0.9442285207191081,0.017452739913901727,635,55.598468386878714,41.390249156135795,44.342439701673634,25.342172293713098,50.72724878018358,36.77500672510398,41.19609272195073,22.850642180861374,0.9275762287086875,0.04035761497590779,0.9291456889607411,0.01814870609077701,1709,5,3.1486249268578117,0.36545479619522353,3.0,0.0,8.715989112854004,5.189539432525635,7.280109882354736,2.7198901176452637,9.431572914123535,5.024449348449707,8.0,2.614835262298584,1625.872314453125,972.8543701171875,1385.91845703125,508.8011474609375,3.916879892349243,0.5437846183776855,3.940969705581665,0.3819549083709717
PARD3_F1_NS,0.586963865492079,0.35016759236653644,0,,,,,,,,,,,,,144,26.251861141472173,25.289881098052703,16.26735774686791,7.890342313937682,24.121175314491147,22.41720962041548,15.723301886760982,7.745729091073269,0.9399733156443423,0.03994163199553296,0.9457527853936951,0.019271738035629427,689,64.95444085910289,38.13524829522323,58.841808794928475,27.321067811865444,60.305316436530006,34.69509799698188,54.97227836727239,25.472278367272388,0.935617580462782,0.029836231293358193,0.9334275427831015,0.0133158955049546,1581,5,3.12966476913346,0.3396790559554728,3.0,0.0,10.55451488494873,6.270839214324951,9.0,3.169048309326172,11.060769081115723,6.10730504989624,9.433980941772461,3.215129852294922,1718.2589111328125,1214.761962890625,1353.5982666015625,550.9774169921875,3.937251329421997,0.5715595483779907,3.9384043216705322,0.422715425491333
NegsiRNA_I1_CA,0.5720570882161459,0.33048121134440106,5,8.19411254969543,13.968824023885674,2.4142135623730954,1.0000000000000002,7.43937098905224,12.3822332036293,2.23606797749979,0.8218544151266947,0.9635441059583817,0.05140463542303752,1.0,0.0,245,23.899431084028038,24.491987341585677,16.672203781998913,6.298358966478229,22.06534661079303,21.314451264521114,15.813364600868471,5.869075340750944,0.9428204070806194,0.03446270007694055,0.9417839645316541,0.016097864560358555,640,62.22155398950258,39.32602793600577,54.69312651445426,27.01564853048077,57.56914284424097,35.89605433542956,51.195043408121904,24.801945990567507,0.9325931778150147,0.029063051790056225,0.930226528254535,0.012745003729965287,1563,5,3.125399872040947,0.33309808565059495,3.0,0.0,10.668997764587402,6.621099948883057,9.05538558959961,3.398531436920166,11.5068359375,6.484271049499512,9.899495124816895,3.442169189453125,2034.2432861328125,1263.9556884765625,1693.787353515625,657.5009765625,4.120773792266846,0.52879399061203,4.147887229919434,0.38479089736938477
CAMSAP3-2310057J16RIK_E2_NS,0.6283679538302951,0.2810923258463542,0,,,,,,,,,,,,,161,27.312551533129188,28.052832179375574,18.862296807168832,8.414213562373124,25.41066828550642,25.40375972679593,17.622783548577107,7.7289021621398835,0.9445070366082539,0.03251690120408771,0.9443931509231851,0.01997839010041702,483,73.87095186581006,48.13269443858587,66.19714785425596,36.044786784029256,68.18775634221319,43.92756613277493,61.52957735015653,32.635133439797485,0.9317894797862742,0.037892573446331845,0.9300909795788064,0.013645548032275578,1135,5,3.1198237885462556,0.3380482523722056,3.0,0.0,10.029522895812988,5.849934101104736,8.5440034866333,3.455996513366699,10.504170417785645,5.746260166168213,9.0,3.169048309326172,1708.6005859375,1210.3245849609375,1370.400634765625,565.1201171875,3.9209377765655518,0.578665554523468,3.936366319656372,0.42191386222839355
