,cell_area_ratio,white_area_ratio,e2e_n,e2e_distance_mean,e2e_distance_std,e2e_eu_distance_mean,e2e_eu_distance_std,e2e_distance_ratio_mean,e2e_distance_ratio_std,j2e_n,j2e_distance_mean,j2e_distance_std,j2e_eu_distance_mean,j2e_eu_distance_std,j2e_distance_ratio_mean,j2e_distance_ratio_std,j2j_n,j2j_distance_mean,j2j_distance_std,j2j_eu_distance_mean,j2j_eu_distance_std,j2j_distance_ratio_mean,j2j_distance_ratio_std,nodes_n,nodes_max,nodes_mean,nodes_std,medial_axis_mean,medial_axis_std,voronoi_approx_mean,voronoi_approx_std,std_filter_mean,std_filter_std,entropy_filter_mean,entropy_filter_std
NegsiRNA_L3_CA,0.6133490668402778,0.20091756184895834,5,9.297056274847717,14.781990032810675,8.013776741499452,11.946724568757455,0.963836286943468,0.08086452071320213,386,16.84524017356085,18.332573292871174,15.500316788996313,15.950697260426507,0.9393679246496104,0.04834872280369009,697,50.666033957031594,40.59858943485115,45.5946764525215,35.80092806917342,0.9193720498010992,0.06264232652798696,1849,5,3.135208220659816,0.34352383249361484,7.034374716650633,5.24494941427105,7.2318922791180125,4.895117279896243,1279.3791770590178,821.6566643536803,3.6668462450551735,0.5920543938010181
NegsiRNA_D2_NS,0.6407483418782552,0.2638876173231337,3,14.852116395368016,16.57215264283834,11.912877917901987,11.645815109718376,0.9124088719793394,0.15171228402405412,311,16.945208539545575,16.794739029203313,15.725083389971141,15.044797699649058,0.9426837825714912,0.03629778117692999,724,56.06646444910592,40.028616390582464,51.68213208176836,36.39489010315796,0.931733621721828,0.036751369398260465,1847,5,3.142934488359502,0.35765682652794706,8.403832476107413,5.454583607969211,8.830708908375403,5.228802293960392,1502.3759808940426,1001.0484219334891,3.8344753981403015,0.5635889773657852
NegsiRNA_L3_NS,0.6951728396945529,0.22679053412543404,10,3.4899494936611672,5.458911925395821,3.3640986324787456,5.205001909590282,0.9808420622412052,0.03189504568116657,548,18.015479724136316,15.932210992000913,16.638219140221047,14.012674043632744,0.9353145313212872,0.047431022473309686,893,38.95203601918433,35.596779113481546,35.66199250458364,32.359562899353925,0.9291423528691805,0.04685875722501557,2377,5,3.1295750946571315,0.3469264474909654,7.722085381745231,5.157857000276898,8.539693104977244,5.044686923023394,1090.782982001563,607.0816463668538,3.5286532264132004,0.5556821280150472
NegsiRNA_D3_NO,0.6128508249918619,0.3189252217610677,6,3.7761423749153966,3.235928949517936,3.6144734862882317,2.987088498907136,0.9796110098047376,0.032959510832190286,390,20.62302014499943,17.407631546621065,19.186851966631668,15.24725548953908,0.9440232225943984,0.035568541512997334,662,53.617392524936584,38.270313293419726,49.20052579514885,34.33620851294931,0.9296166089515792,0.04024607742199912,1727,5,3.1279675738274464,0.3426109482082505,10.998406652380575,6.946816092273608,12.096730066910407,6.360440915913568,2052.241967264145,1256.6732189394236,4.103775294566056,0.5467307458770293
NegsiRNA_A1_CA,0.6922763800442104,0.24138556262829136,1,20.242640687119287,0.0,15.620499351813306,0.0,0.7716631240583586,0.0,280,17.747788087112827,15.328733934734387,16.632968657516177,14.07930121320864,0.94484613230741,0.0343433369012354,511,59.47597323988786,44.731359647666615,54.7246938082581,40.702848495867684,0.9285102657822648,0.03700840631831154,1311,5,3.1167048054919912,0.3281180472116233,9.244078830385693,5.633561521974405,10.046738914528786,5.5539962542835095,2071.7672906335256,1361.5845284921554,4.105875171584648,0.5509512461574535
NegsiRNA_D1_NO,0.6073811848958334,0.3272963629828559,2,1.4142135623730951,0.0,1.4142135623730951,0.0,1.0,0.0,434,16.724501890297642,10.20348186699305,15.711644385942511,9.398163116505577,0.9439601709775608,0.04519616585762876,859,50.416432077304655,37.13459128269928,46.249720100760115,33.113858178900024,0.9311164284330564,0.03673926904778357,2145,6,3.117948717948718,0.3339102055076772,9.416743505562199,5.250578308394618,10.453954428303776,4.910339875012813,1112.4807974128,659.2048791732437,3.5460768397963625,0.5626024813747404
NegsiRNA_E1_NO,0.6598192850748698,0.2541419135199653,2,25.02081528017132,5.0,22.214256971104053,5.920605918612508,0.8817945850389098,0.06041501751607228,321,18.721293454493296,18.908188656179885,17.375299546035617,16.874893048688946,0.9376551335276831,0.06703090661802329,600,56.49151320469861,43.08214294519033,51.88497443160472,38.77540898374951,0.930341459602084,0.03727556226250056,1493,4,3.1158740790354984,0.32007386154319745,9.26102743954631,5.801075269089613,10.108380603313481,5.717156697032893,1914.507482746297,1220.6176110731258,4.0391117541752015,0.5617399852017528
NegsiRNA_G2_NS,0.5991946326361762,0.3098928663465712,8,12.599873734152913,13.202068763869338,11.92923237089391,12.876042650318427,0.9534887562291028,0.052979253658289316,348,20.420669086886228,18.983458080254653,19.109171616423772,17.132077144922942,0.944727106033114,0.04574058998915929,643,54.438428707113715,38.64422251913875,50.222454563228396,34.99477638958464,0.9329476644351375,0.03294273058424318,1669,5,3.1246255242660275,0.3356917782930955,10.818076014328923,6.581095258677528,11.927526749945153,6.360498508929384,1598.4719695580359,1096.6203742665548,3.874557413153151,0.5640028177046476
NegsiRNA_L2_NO,0.6395147111680772,0.24796040852864584,1,3.4142135623730954,0.0,3.1622776601683795,0.0,0.9262096826685896,0.0,466,18.777264858412252,14.781472000454828,17.517082156554178,13.549146027772494,0.9398256771936292,0.044698920438453964,695,47.4606470084937,38.856171962569796,43.40891655871298,34.82963058045894,0.9290685524598774,0.042044246604355004,1887,5,3.1261261261261266,0.3383162131584016,9.147325241597368,7.7024546010323665,9.810565065754915,7.484552015793465,1447.4515582458248,894.8278718661833,3.7941880251714917,0.5612529277869632
NegsiRNA_G2_NO,0.540201399061415,0.3754124111599392,1,58.89949493661165,0.0,53.9351462406472,0.0,0.9157149190955348,0.0,377,21.795049232574392,16.950934824141505,20.29569548174684,15.310829345300537,0.9418348570759574,0.03692490736732418,738,53.4598977534636,39.12702434698199,49.24230087870825,35.258397889024145,0.9333365792440076,0.034943950480530395,1851,5,3.1350621285791465,0.3526809169819778,11.892901769403414,7.214483896027128,13.210896890098862,6.832679312570776,1993.7851815015013,1341.0298718668691,4.070794696875808,0.5550651294765315
