,cell_area_ratio,white_area_ratio,e2e_n,e2e_distance_mean,e2e_distance_std,e2e_eu_distance_mean,e2e_eu_distance_std,e2e_distance_ratio_mean,e2e_distance_ratio_std,j2e_n,j2e_distance_mean,j2e_distance_std,j2e_eu_distance_mean,j2e_eu_distance_std,j2e_distance_ratio_mean,j2e_distance_ratio_std,j2j_n,j2j_distance_mean,j2j_distance_std,j2j_eu_distance_mean,j2j_eu_distance_std,j2j_distance_ratio_mean,j2j_distance_ratio_std,nodes_n,nodes_max,nodes_mean,nodes_std,branch_thickness_medial_axis_mean,branch_thickness_medial_axis_std,branch_thickness_voronoi_mean,branch_thickness_voronoi_std,texture_std_filter_mean,texture_std_filter_std,texture_entropy_filter_mean,texture_entropy_filter_std
NegsiRNA_A1_NS,0.7009209240271506,0.21727817290982315,0,,,,,,,173,23.307733416810247,22.645612765412512,21.60418018599782,20.621565119358937,0.9379269868981325,0.03498864797759282,408,73.98705414753374,54.505582240219056,67.91602396486768,49.444786070656114,0.9285788423905652,0.0346252617885615,998,5,3.1332665330661325,0.3485951638774725,8.730324745178223,6.082304000854492,8.871192932128906,5.716354846954346,1838.6707763671875,1323.98193359375,3.961820125579834,0.5995966792106628
NegsiRNA_C1_NS,0.6236822340223525,0.26746198866102433,6,5.190355937288493,8.88695938373929,4.638071187457698,7.535645612161554,0.9763107293781749,0.05802662540217549,271,17.205096805104052,16.3092918118695,16.109219684652423,14.846671539782681,0.9407249444112695,0.05661737511601368,702,59.78256055207053,40.974794380845815,54.97142117965792,37.097029119574344,0.929982991610245,0.035371038295131406,1731,5,3.1403812824956674,0.3572209218854218,8.341124534606934,5.483749866485596,8.66329288482666,5.2671003341674805,1547.280517578125,1101.4854736328125,3.842813730239868,0.590560793876648
CAMSAP3-2310057J16RIK_E1_NS,0.661863750881619,0.24064212375217015,1,1.0,,1.0,,1.0,,224,21.098332348212175,22.99010613295453,19.470335742413543,20.575036454736182,0.9360910702601969,0.0516304117672136,515,67.6887606608082,45.78805050579983,61.91310571594526,41.276742644906065,0.9255933490367532,0.038195132441216556,1298,5,3.1271186440677967,0.344475913010902,8.65636920928955,5.065885543823242,9.112564086914062,4.95321798324585,1753.5142822265625,1150.8768310546875,3.95925235748291,0.5581509470939636
ADAM9_C3b_CA,0.6481164296468099,0.24090745713975695,1,1.4142135623730951,,1.4142135623730951,,1.0,,307,19.018179507464616,18.100120191515416,17.6861832704675,16.336484833658737,0.9412559287970326,0.03374654081150215,542,59.16440367507876,46.05735092120908,54.243151460846704,41.41577834725512,0.9295292954338646,0.03815874410632441,1398,5,3.136623748211731,0.34552614199337983,9.163930892944336,5.846679210662842,9.859149932861328,5.770456314086914,1753.0054931640625,1095.568115234375,3.9710118770599365,0.5607599020004272
NegsiRNA_D2_NO,0.5942372216118706,0.30669191148546004,3,7.185449728701351,8.26402345499069,6.761174751947158,7.837714843016961,0.9325429043626521,0.010969461749713512,450,17.61398414703312,12.481308559494517,16.521655868787246,11.323837793578422,0.943717768150143,0.04216401394198399,845,49.13060048737297,36.90853518786724,45.1172962099135,33.018436177016774,0.9324438313507194,0.0378421794323353,2164,5,3.1252310536044363,0.33514307403076943,9.204174995422363,5.460223197937012,10.031551361083984,5.168517589569092,1468.9852294921875,870.4193115234375,3.842020273208618,0.5201103091239929
NegsiRNA_C3_NS,0.641768561469184,0.26631588406032985,0,,,,,,,279,17.248536201879066,14.131792988431018,16.043773035286367,12.65626248419109,0.9408221572037525,0.04116260271386076,655,59.463623898457236,42.06506513622611,54.95106993271165,38.32006035465484,0.9331750689483479,0.03126454918003365,1603,5,3.125389893948846,0.3330389302779031,8.61386489868164,4.987895488739014,9.205726623535156,4.785001754760742,1337.4776611328125,789.986083984375,3.7456772327423096,0.5363408923149109
EZR_C3_NS,0.6523922814263238,0.25984615749782985,1,3.0,,3.0,,1.0,,248,19.977752127326085,20.8556845261725,18.57843394745812,18.74541611237719,0.945667356437863,0.03613300653468358,587,62.6515465557319,41.415160719953604,58.04469768836938,38.00890828439075,0.9333637744656609,0.028265996979016043,1443,5,3.1254331254331253,0.33329515127466924,8.71779727935791,4.913708686828613,9.218469619750977,4.647702217102051,1529.8709716796875,1096.8599853515625,3.848207950592041,0.5590744018554688
AKT1_B2_CA,0.4698001013861762,0.40321053398980033,2,41.17766952966368,24.67766952966367,37.42687166629572,23.096721727320126,0.9029966189437345,0.01974054354964008,523,21.670104940856376,14.355925208982041,20.2549498224725,12.980772896846668,0.9422619630087997,0.036437045180664415,897,43.893035692968844,33.5174283867529,40.43192976440923,30.247814044044844,0.9349238151521189,0.042199243951584225,2357,5,3.1255833686890115,0.33646148560783934,13.148523330688477,8.644623756408691,15.185250282287598,8.013652801513672,1839.3353271484375,1355.5643310546875,3.954575538635254,0.6091243028640747
NegsiRNA_F2_CA,0.6038146548800998,0.31106016370985246,8,6.806980515339464,9.320024853928812,6.176553122354481,8.483610520239804,0.9522329859174387,0.06645941712201915,364,19.078393320468027,13.299774602351988,17.878483706472306,12.189192075568206,0.9433513836475023,0.03420305703627646,713,54.503382237864656,40.873055550935305,50.244185404788354,36.79961533592659,0.933599744103635,0.03459430820194475,1829,5,3.1334062329141608,0.3526428216100573,10.128362655639648,6.620393753051758,11.041261672973633,6.385744094848633,1532.2518310546875,1041.1363525390625,3.8343868255615234,0.580838680267334
P2RX4_E1_CA,0.6858855353461372,0.24402576022677952,1,1.4142135623730951,,1.4142135623730951,,1.0,,199,21.811063414656083,25.915639357121453,19.85961400788206,21.496064650871848,0.9365322346343627,0.0582942848216129,512,66.25403298054411,50.21909140809694,60.59592000901347,45.35528208530966,0.9256380202521608,0.044381038478348005,1264,5,3.1297468354430378,0.3453139268254407,9.21639633178711,5.947233200073242,9.647062301635742,5.746586799621582,1700.7489013671875,1143.199951171875,3.9163639545440674,0.5827956795692444
NegsiRNA_C3b_NS,0.638713624742296,0.26928287082248265,3,1.0,0.0,1.0,0.0,1.0,0.0,308,18.48555520337903,16.365616983300978,17.28787401809163,14.766210074517463,0.9438256104867829,0.03188443137700645,660,57.066436020572645,39.84303525692835,52.738190127920106,36.47694814546279,0.9323131841111717,0.033120919882910084,1666,5,3.1278511404561824,0.33927373449246917,9.017007827758789,6.576452255249023,9.655938148498535,6.503243446350098,1286.251220703125,752.9401245117188,3.7023487091064453,0.5505462288856506
